Frequency (Hz),Fourier Amplitude (g-sec)
0.006103516,0.000347178
0.012207031,0.00041848
0.018310547,0.000160691
0.024414063,0.000288606
0.030517578,0.000634153
0.036621094,0.00064001
0.042724609,0.000313465
0.048828125,0.000427631
0.054931641,0.000807092
0.061035156,0.000831232
0.067138672,0.000587221
0.073242188,0.000719099
0.079345703,0.001100265
0.085449219,0.001247491
0.091552734,0.001159762
0.09765625,0.001094917
0.103759766,0.001887489
0.109863281,0.003961352
0.115966797,0.006736236
0.122070313,0.009281853
0.128173828,0.01071722
0.134277344,0.010998661
0.140380859,0.011601696
0.146484375,0.014057718
0.152587891,0.017221893
0.158691406,0.018841784
0.164794922,0.01793272
0.170898438,0.015673765
0.177001953,0.01493521
0.183105469,0.016503383
0.189208984,0.017755644
0.1953125,0.017204774
0.201416016,0.016516577
0.207519531,0.018664781
0.213623047,0.023086752
0.219726563,0.026892589
0.225830078,0.028581854
0.231933594,0.028586609
0.238037109,0.028573503
0.244140625,0.029927882
0.250244141,0.032118869
0.256347656,0.032911541
0.262451172,0.029968117
0.268554688,0.022212465
0.274658203,0.011100554
0.280761719,0.008785253
0.286865234,0.01901069
0.29296875,0.025569748
0.299072266,0.02580969
0.305175781,0.022536938
0.311279297,0.023813439
0.317382813,0.031886945
0.323486328,0.039697183
0.329589844,0.042972472
0.335693359,0.042308615
0.341796875,0.041432742
0.347900391,0.042798669
0.354003906,0.0442952
0.360107422,0.042573903
0.366210938,0.036979555
0.372314453,0.029940506
0.378417969,0.024610991
0.384521484,0.02095881
0.390625,0.016024122
0.396728516,0.008414515
0.402832031,0.001011257
0.408935547,0.008056806
0.415039063,0.012202686
0.421142578,0.013677782
0.427246094,0.015649519
0.433349609,0.01926875
0.439453125,0.021675488
0.445556641,0.020893462
0.451660156,0.019950889
0.457763672,0.025879462
0.463867188,0.037226341
0.469970703,0.047106416
0.476074219,0.050863264
0.482177734,0.046978176
0.48828125,0.037646843
0.494384766,0.0294798
0.500488281,0.02929387
0.506591797,0.032233171
0.512695313,0.030382057
0.518798828,0.025409975
0.524902344,0.031665039
0.531005859,0.049900953
0.537109375,0.066261774
0.543212891,0.072023893
0.549316406,0.06407997
0.555419922,0.045012352
0.561523438,0.023174014
0.567626953,0.015142006
0.573730469,0.020919422
0.579833984,0.028521033
0.5859375,0.049513778
0.592041016,0.081224479
0.598144531,0.110849752
0.604248047,0.127661921
0.610351563,0.12752502
0.616455078,0.116450293
0.622558594,0.110364591
0.628662109,0.120217708
0.634765625,0.136232996
0.640869141,0.144246147
0.646972656,0.140885839
0.653076172,0.133142493
0.659179688,0.129413551
0.665283203,0.128613539
0.671386719,0.123238366
0.677490234,0.112668813
0.68359375,0.108717041
0.689697266,0.121412575
