Frequency (Hz),Fourier Amplitude (g-sec)
1.843261719,0.109311007
1.849365234,0.106928887
1.85546875,0.103645105
1.861572266,0.100853454
1.867675781,0.098835562
1.873779297,0.095737711
1.879882813,0.089391075
1.885986328,0.079567781
1.892089844,0.068787648
1.898193359,0.061234457
1.904296875,0.059344073
1.910400391,0.061051618
1.916503906,0.062414732
1.922607422,0.061005166
1.928710938,0.056206445
1.934814453,0.048373601
1.940917969,0.038368814
1.947021484,0.027569881
1.953125,0.017866534
1.959228516,0.011323604
1.965332031,0.00957531
1.971435547,0.012540146
1.977539063,0.018407164
1.983642578,0.024920042
1.989746094,0.029936129
1.995849609,0.032210081
2.001953125,0.031786227
2.008056641,0.029675593
2.014160156,0.027146232
2.020263672,0.025156668
2.026367188,0.023816838
2.032470703,0.021757611
2.038574219,0.016640327
2.044677734,0.007577162
2.05078125,0.011613417
2.056884766,0.029494958
2.062988281,0.048350496
2.069091797,0.065562441
2.075195313,0.080714499
2.081298828,0.094411768
2.087402344,0.106224101
2.093505859,0.114053074
2.099609375,0.116026395
2.105712891,0.112895779
2.111816406,0.10836406
2.117919922,0.106352911
2.124023438,0.107928259
2.130126953,0.112406245
2.136230469,0.120004103
2.142333984,0.130361133
2.1484375,0.139983766
2.154541016,0.144467275
2.160644531,0.143495046
2.166748047,0.142885642
2.172851563,0.149269313
2.178955078,0.161175039
2.185058594,0.170371633
2.191162109,0.171090561
2.197265625,0.164648742
2.203369141,0.157148442
2.209472656,0.152793033
2.215576172,0.149836967
2.221679688,0.144795406
2.227783203,0.138279823
2.233886719,0.134548702
2.239990234,0.135678687
2.24609375,0.138620864
2.252197266,0.1394026
2.258300781,0.13736405
2.264404297,0.134698626
2.270507813,0.133431271
2.276611328,0.133638475
2.282714844,0.134258212
2.288818359,0.134347922
2.294921875,0.133298877
2.301025391,0.130860353
2.307128906,0.127503363
2.313232422,0.124288423
2.319335938,0.121866211
2.325439453,0.119856062
2.331542969,0.117614665
2.337646484,0.115310731
2.34375,0.113843892
2.349853516,0.113893967
2.355957031,0.115336091
2.362060547,0.117190584
2.368164063,0.117490112
2.374267578,0.113427436
2.380371094,0.102485557
2.386474609,0.084090935
2.392578125,0.060890436
2.398681641,0.04015599
2.404785156,0.035195958
2.410888672,0.046596073
2.416992188,0.060899287
2.423095703,0.074100245
2.429199219,0.087402903
2.435302734,0.102144956
2.44140625,0.117697381
2.447509766,0.131672619
2.453613281,0.141576302
2.459716797,0.146660243
2.465820313,0.148741262
2.471923828,0.15077205
2.478027344,0.153607689
2.484130859,0.154594884
