Frequency (Hz),Fourier Amplitude (g-sec)
3.656005859,0.071840851
3.662109375,0.06009773
3.668212891,0.05952854
3.674316406,0.06631606
3.680419922,0.071312582
3.686523438,0.071548869
3.692626953,0.070124249
3.698730469,0.071157095
3.704833984,0.074210293
3.7109375,0.075032696
3.717041016,0.07052888
3.723144531,0.061084822
3.729248047,0.050137384
3.735351563,0.042639206
3.741455078,0.042247636
3.747558594,0.048412172
3.753662109,0.058162484
3.759765625,0.068643775
3.765869141,0.077263069
3.771972656,0.081890433
3.778076172,0.081362603
3.784179688,0.0756734
3.790283203,0.065731708
3.796386719,0.052915931
3.802490234,0.038694419
3.80859375,0.024440906
3.814697266,0.011520347
3.820800781,0.004788504
3.826904297,0.011814392
3.833007813,0.019231076
3.839111328,0.025449118
3.845214844,0.030692779
3.851318359,0.035003631
3.857421875,0.038144362
3.863525391,0.039796876
3.869628906,0.039774394
3.875732422,0.038140062
3.881835938,0.035276439
3.887939453,0.031973426
3.894042969,0.02944239
3.900146484,0.028869275
3.90625,0.030432781
3.912353516,0.033041689
3.918457031,0.035225665
3.924560547,0.035835661
3.930664063,0.034244148
3.936767578,0.030577169
3.942871094,0.026232247
3.948974609,0.024081704
3.955078125,0.025947915
3.961181641,0.029565826
3.967285156,0.031645733
3.973388672,0.030839773
3.979492188,0.027888262
3.985595703,0.024575937
3.991699219,0.021846069
3.997802734,0.018788991
4.00390625,0.014147211
4.010009766,0.007988163
4.016113281,0.00197209
4.022216797,0.00365487
4.028320313,0.005878554
4.034423828,0.006044003
4.040527344,0.006717722
4.046630859,0.010482261
4.052734375,0.016368948
4.058837891,0.022858906
4.064941406,0.028606075
4.071044922,0.032398498
4.077148438,0.033810359
4.083251953,0.033726261
4.089355469,0.033662287
4.095458984,0.033870767
4.1015625,0.032745883
4.107666016,0.028629221
4.113769531,0.021457733
4.119873047,0.012919256
4.125976563,0.00569081
4.132080078,0.002742119
4.138183594,0.002324579
4.144287109,0.001131076
4.150390625,0.003471188
4.156494141,0.006480856
4.162597656,0.009505967
4.168701172,0.012947833
4.174804688,0.016013862
4.180908203,0.017147906
4.187011719,0.01617
4.193115234,0.016537655
4.19921875,0.022207736
4.205322266,0.030294653
4.211425781,0.036103207
4.217529297,0.036963682
4.223632813,0.032531196
4.229736328,0.024814647
4.235839844,0.0184531
4.241943359,0.018811532
4.248046875,0.023419351
4.254150391,0.026946547
4.260253906,0.027499807
4.266357422,0.025214177
4.272460938,0.021309731
4.278564453,0.017958658
4.284667969,0.017660491
4.290771484,0.020655521
4.296875,0.025217583
4.302978516,0.030789863
4.309082031,0.038093663
4.315185547,0.047335231
4.321289063,0.057155195
4.327392578,0.065311663
4.333496094,0.069987797
4.339599609,0.070736029
4.345703125,0.068701447
4.351806641,0.06599151
4.357910156,0.06446304
4.364013672,0.0649007
4.370117188,0.067280744
4.376220703,0.071214586
4.382324219,0.075731452
4.388427734,0.079196234
4.39453125,0.080023856
4.400634766,0.077593578
4.406738281,0.072587967
4.412841797,0.066537865
4.418945313,0.060859926
4.425048828,0.056067579
4.431152344,0.051790939
4.437255859,0.047428877
4.443359375,0.042757463
4.449462891,0.038308895
4.455566406,0.035526519
4.461669922,0.035980628
4.467773438,0.039612126
4.473876953,0.044800768
4.479980469,0.050285085
4.486083984,0.055837357
4.4921875,0.061284649
4.498291016,0.065418471
4.504394531,0.066284215
4.510498047,0.062713954
4.516601563,0.055906509
4.522705078,0.049740276
4.528808594,0.047679344
4.534912109,0.047810963
4.541015625,0.045078301
4.547119141,0.037633983
4.553222656,0.030211181
4.559326172,0.031965165
4.565429688,0.040921427
4.571533203,0.048762113
4.577636719,0.053731739
4.583740234,0.058544016
4.58984375,0.064231346
4.595947266,0.067409444
4.602050781,0.064380045
4.608154297,0.055904657
4.614257813,0.048753287
4.620361328,0.050203139
4.626464844,0.057954322
4.632568359,0.066899354
4.638671875,0.076901243
4.644775391,0.087888048
4.650878906,0.095500601
4.656982422,0.094776133
4.663085938,0.086886129
4.669189453,0.082987983
4.675292969,0.09409945
4.681396484,0.112937351
4.6875,0.125675882
4.693603516,0.126745846
4.699707031,0.120035056
4.705810547,0.113784469
4.711914063,0.111217914
4.718017578,0.107220607
4.724121094,0.096624247
4.730224609,0.081331783
4.736328125,0.069652301
4.742431641,0.067470735
4.748535156,0.070545381
4.754638672,0.073539203
4.760742188,0.076796379
4.766845703,0.081520425
4.772949219,0.085514248
4.779052734,0.086058173
4.78515625,0.083810652
4.791259766,0.081980742
4.797363281,0.081861267
4.803466797,0.081185817
4.809570313,0.077842718
4.815673828,0.072622423
4.821777344,0.067391569
4.827880859,0.061872263
4.833984375,0.054619301
4.840087891,0.047596425
4.846191406,0.046857816
4.852294922,0.053007693
4.858398438,0.058402612
4.864501953,0.057402744
4.870605469,0.05029817
4.876708984,0.042041411
4.8828125,0.037595115
4.888916016,0.035811564
4.895019531,0.032679914
4.901123047,0.02857199
4.907226563,0.02750086
4.913330078,0.029600049
4.919433594,0.0308688
4.925537109,0.030904242
4.931640625,0.034022862
4.937744141,0.041993314
4.943847656,0.050583011
4.949951172,0.055257174
4.956054688,0.053924926
4.962158203,0.046606724
4.968261719,0.034787266
4.974365234,0.022080732
4.98046875,0.018301739
4.986572266,0.026875557
4.992675781,0.034937209
4.998779297,0.036286771
5.004882813,0.029572581
5.010986328,0.016473541
5.017089844,0.00679677
5.023193359,0.020794758
5.029296875,0.03496474
5.035400391,0.044652635
5.041503906,0.049114264
5.047607422,0.04907185
5.053710938,0.046722515
5.059814453,0.045076863
5.065917969,0.045301553
5.072021484,0.044885406
5.078125,0.040210769
5.084228516,0.02985985
5.090332031,0.016141704
5.096435547,0.010687268
5.102539063,0.020339352
5.108642578,0.028036156
5.114746094,0.030587379
5.120849609,0.029045725
5.126953125,0.025067053
5.133056641,0.020310308
5.139160156,0.019758098
5.145263672,0.029054138
5.151367188,0.043718878
5.157470703,0.058005585
5.163574219,0.068893326
5.169677734,0.075632807
5.17578125,0.078776061
5.181884766,0.078764116
5.187988281,0.075374728
5.194091797,0.06867547
5.200195313,0.060248264
5.206298828,0.052864129
5.212402344,0.047936214
5.218505859,0.043573048
5.224609375,0.036742869
5.230712891,0.026289607
5.236816406,0.013454738
5.242919922,0.0028649
5.249023438,0.011122448
5.255126953,0.018029102
5.261230469,0.020926188
5.267333984,0.020550542
5.2734375,0.019094857
5.279541016,0.019774598
5.285644531,0.023561916
5.291748047,0.027971372
5.297851563,0.030689052
5.303955078,0.031482436
5.310058594,0.03210554
5.316162109,0.034403692
5.322265625,0.03776687
5.328369141,0.039669377
5.334472656,0.038075523
5.340576172,0.032631411
5.346679688,0.024691572
5.352783203,0.016867733
5.358886719,0.012157843
5.364990234,0.011127576
5.37109375,0.011014418
5.377197266,0.010705859
5.383300781,0.010891757
5.389404297,0.011333126
5.395507813,0.010918588
5.401611328,0.010139861
5.407714844,0.012422181
5.413818359,0.018891428
5.419921875,0.026700834
5.426025391,0.033352674
5.432128906,0.037383051
5.438232422,0.038416237
5.444335938,0.037252355
5.450439453,0.035548428
5.456542969,0.034632818
5.462646484,0.034137493
5.46875,0.032413677
5.474853516,0.028422002
5.480957031,0.023252577
5.487060547,0.020612514
5.493164063,0.023158765
5.499267578,0.027778748
5.505371094,0.030653262
5.511474609,0.030266199
5.517578125,0.026679982
5.523681641,0.020738455
5.529785156,0.014063408
5.535888672,0.011221212
5.541992188,0.016532486
5.548095703,0.024462947
5.554199219,0.030862952
5.560302734,0.034103244
5.56640625,0.034019815
5.572509766,0.031840546
5.578613281,0.0298224
5.584716797,0.02984886
5.590820313,0.031645899
5.596923828,0.033308974
5.603027344,0.033215911
5.609130859,0.030833445
5.615234375,0.026648618
5.621337891,0.021802013
5.627441406,0.017474875
5.633544922,0.014099289
5.639648438,0.011163485
5.645751953,0.008417019
5.651855469,0.00781821
5.657958984,0.01137715
5.6640625,0.016766256
5.670166016,0.021784612
5.676269531,0.025307376
5.682373047,0.027033951
5.688476563,0.027660302
5.694580078,0.028736796
5.700683594,0.031450876
5.706787109,0.035264928
5.712890625,0.038479674
5.718994141,0.039726575
5.725097656,0.038696673
5.731201172,0.036048907
5.737304688,0.032824431
5.743408203,0.029771555
5.749511719,0.027150554
5.755615234,0.025165367
5.76171875,0.024322999
5.767822266,0.025062926
5.773925781,0.027138976
5.780029297,0.029705924
5.786132813,0.031807719
5.792236328,0.0326468
5.798339844,0.031740153
5.804443359,0.029098601
5.810546875,0.025291416
5.816650391,0.021206513
5.822753906,0.017524812
5.828857422,0.014377814
5.834960938,0.011799682
5.841064453,0.010533738
5.847167969,0.011374026
5.853271484,0.013491074
5.859375,0.015607831
5.865478516,0.017417711
5.871582031,0.019367302
5.877685547,0.021806685
5.883789063,0.024450638
5.889892578,0.02666004
5.895996094,0.027984103
5.902099609,0.028406802
5.908203125,0.028256586
5.914306641,0.027893082
5.920410156,0.027366287
5.926513672,0.026351888
5.932617188,0.024481925
5.938720703,0.021812123
5.944824219,0.019044609
5.950927734,0.017141777
5.95703125,0.016316349
5.963134766,0.015777182
5.969238281,0.014979402
5.975341797,0.014476793
5.981445313,0.014991277
5.987548828,0.015761123
5.993652344,0.015034014
5.999755859,0.011638556
6.005859375,0.005607247
6.011962891,0.001964767
6.018066406,0.009462805
6.024169922,0.015472046
6.030273438,0.019379791
6.036376953,0.02151034
6.042480469,0.022565245
6.048583984,0.022751997
6.0546875,0.021607009
6.060791016,0.018707048
6.066894531,0.014341242
6.072998047,0.009628115
6.079101563,0.006498411
6.085205078,0.006991111
6.091308594,0.009779926
6.097412109,0.01280896
6.103515625,0.014896673
6.109619141,0.015147197
6.115722656,0.013236596
6.121826172,0.009706905
6.127929688,0.005972739
6.134033203,0.004197262
6.140136719,0.004858398
6.146240234,0.005952024
6.15234375,0.007165856
6.158447266,0.008500843
6.164550781,0.009408677
6.170654297,0.009526137
6.176757813,0.009169492
6.182861328,0.008992852
6.188964844,0.009116042
6.195068359,0.008996253
6.201171875,0.008213326
6.207275391,0.006887779
6.213378906,0.005526377
6.219482422,0.004637042
6.225585938,0.004381128
6.231689453,0.004695891
6.237792969,0.005692302
6.243896484,0.007546128
6.25,0.010193598
6.256103516,0.013363932
6.262207031,0.016745629
6.268310547,0.020055284
6.274414063,0.02297479
6.280517578,0.025074162
6.286621094,0.025908057
6.292724609,0.025328285
6.298828125,0.023820031
6.304931641,0.022477651
6.311035156,0.022199743
6.317138672,0.02267507
6.323242188,0.022763671
6.329345703,0.021746018
6.335449219,0.019841187
6.341552734,0.017803039
6.34765625,0.016061416
6.353759766,0.014395181
6.359863281,0.012753755
6.365966797,0.012025444
6.372070313,0.012929939
6.378173828,0.01438103
6.384277344,0.014792865
6.390380859,0.013693182
6.396484375,0.012057501
6.402587891,0.011682416
6.408691406,0.013138322
6.414794922,0.015384409
6.420898438,0.017782962
6.427001953,0.020270562
6.433105469,0.022478088
6.439208984,0.023656203
6.4453125,0.023401477
6.451416016,0.022260749
6.457519531,0.021536554
6.463623047,0.02204397
6.469726563,0.023173115
6.475830078,0.023819364
6.481933594,0.023581676
6.488037109,0.022863771
6.494140625,0.022256208
6.500244141,0.021935653
6.506347656,0.021681427
6.512451172,0.02129931
6.518554688,0.020803346
6.524658203,0.020268395
6.530761719,0.019698451
6.536865234,0.019074456
6.54296875,0.018415258
6.549072266,0.017718725
6.555175781,0.016916797
6.561279297,0.015994111
6.567382813,0.015133751
6.573486328,0.014600238
6.579589844,0.01436682
6.585693359,0.014001368
6.591796875,0.013062557
6.597900391,0.011544469
6.604003906,0.009986745
6.610107422,0.009106004
6.616210938,0.009030958
6.622314453,0.009214655
6.628417969,0.009241264
6.634521484,0.009132361
6.640625,0.008989241
6.646728516,0.008626454
6.652832031,0.007647046
6.658935547,0.005767127
6.665039063,0.003027524
6.671142578,0.000785071
6.677246094,0.003748884
6.683349609,0.006392456
6.689453125,0.007952345
6.695556641,0.00833334
6.701660156,0.00799656
6.707763672,0.007834732
6.713867188,0.008449154
6.719970703,0.009663582
6.726074219,0.011329767
6.732177734,0.013793459
6.73828125,0.017197147
6.744384766,0.020922931
6.750488281,0.023956089
6.756591797,0.025492261
6.762695313,0.025308883
6.768798828,0.023844402
6.774902344,0.021956382
6.781005859,0.020362136
