Period (sec),Frequency Domain Spectral Acceleration (g)
0.01,0.443458309
0.0106412,0.44316706
0.0113235,0.442583739
0.0120495,0.444761313
0.0128221,0.445524538
0.0136442,0.445242398
0.014519,0.446366692
0.01545,0.447345426
0.0164406,0.443456709
0.0174947,0.44946169
0.0186165,0.450944793
0.0198101,0.452622071
0.0210803,0.447121123
0.0224319,0.451344399
0.0238702,0.455654131
0.0254007,0.459864658
0.0270293,0.456722256
0.0287624,0.453667535
0.0306066,0.468531603
0.032569,0.457871596
0.0346572,0.473360775
0.0368794,0.455243154
0.039244,0.471426905
0.0417603,0.512265666
0.0444378,0.589699532
0.0472871,0.577952143
0.050319,0.644326793
0.0535454,0.68527354
0.0569786,0.765473039
0.0606319,0.701354512
0.0645195,0.734991861
0.0686563,0.62542883
0.0730584,0.853668002
0.0777428,0.898762951
0.0827275,0.887965979
0.0880318,0.955351708
0.0936762,0.983228458
0.0996825,1.061174854
0.106074,0.884134516
0.112875,0.814301414
0.120112,0.788928788
0.127814,0.821897356
0.136009,0.840926453
0.14473,0.746413027
0.154009,0.747510722
0.163884,0.755086958
0.174392,0.913900325
0.185573,1.144633707
0.197472,1.284773068
0.210134,1.234757694
0.223607,1.183578534
0.237944,1.160772438
0.2532,1.017322519
0.269435,1.013803648
0.286711,1.037754471
0.305094,1.061600137
0.324656,1.121243175
0.345472,1.176927707
0.367623,1.152091605
0.391194,0.97520656
0.416277,0.845141184
0.442967,0.753057408
0.471369,0.640987865
0.501593,0.547170703
0.533754,0.446915037
0.567977,0.359777654
0.604394,0.316271735
0.643146,0.317678249
0.684384,0.314437143
0.728265,0.277012343
0.774959,0.23899297
0.824648,0.20722295
0.877523,0.173886431
0.933788,0.134238864
0.99366,0.112799414
1.05737,0.107566354
1.12517,0.099909301
1.19731,0.092152964
1.27408,0.086396841
1.35577,0.082891703
1.4427,0.080421408
1.5352,0.077945873
1.63364,0.074351072
1.73838,0.069712816
1.84984,0.067929271
1.96845,0.066060299
2.09466,0.064560598
2.22897,0.061908733
2.37188,0.058507633
2.52396,0.056413236
2.6858,0.057024324
2.858,0.056615597
3.04125,0.053959329
3.23625,0.05073219
3.44375,0.048568414
3.66456,0.044817562
3.89952,0.040183445
4.14955,0.037628429
4.41561,0.034042645
4.69873,0.030326165
5,0.026906653
5.32059,0.023176173
5.66173,0.020790038
6.02475,0.018389063
6.41104,0.015206931
6.82211,0.012274466
7.25952,0.010491126
7.72499,0.008926475
8.2203,0.007570468
8.74737,0.006536518
9.30823,0.005588781
9.90505,0.004750715
10,0.004636666
